year,id_road_section,node_end,node_start,traffic_volume
2019,288235652,2917914171,10370234,736.59521012435
2019,26499043,430120797,10370235,841.2376482213438
2019,288235650,3559369179,10370236,326.73568152324697
2019,26499043,430120763,10370237,710.4986979166666
2019,59875487,3559369126,10370239,250.0
2019,59875487,3559342355,10370697,250.0
2019,13054289,120125589,13886102,658.2
2019,13054227,668721020,13886102,171.04545454545453
2019,339151060,3559369130,21101066,1.0
2019,13054289,120125591,120125589,658.2
2019,13054289,120125593,120125591,658.2
2019,13054289,514182400,120125593,658.2
2019,13054289,514182402,120125594,658.2
2019,13054289,514182404,120125597,658.2
2019,59875487,10370239,120125599,250.0
2019,13054359,3559369174,120126258,417.568093385214
2019,13054359,3559369173,120126259,417.568093385214
2019,13054359,3559369170,120126261,417.568093385214
2019,13054359,3559369168,120126262,417.568093385214
2019,13054359,3559369167,120126263,417.568093385214
2019,13054359,3559369164,120126264,417.568093385214
2019,316002129,3931876201,121933747,3715.3516859968477
2019,316002129,507968329,121933748,3715.3516859968477
2019,316002129,364178831,121933749,3754.641747017127
2019,316002129,507968331,121933750,3768.900420168067
2019,204130780,2141448244,121933750,550.7692307692308
2019,316002128,3221202759,121933751,3760.66765578635
2019,648461872,3931817502,121933767,10978.515107309433
2019,648461872,2052719126,121933768,10432.381207680039
2019,26832265,2053129304,121933768,413.69178082191775
2019,194921858,2052719132,121933770,21701.257015117084
2019,194921858,1628161092,121933771,10054.010565033994
2019,28166532,309372050,121933774,4513.2
2019,194921858,3925691538,121933774,8461.206303724928
2019,13498686,293853693,121933781,943.4453993933265
2019,150203425,2028867777,121933781,3869.8848433949215
2019,150203425,2056566814,121933784,4963.6655633501305
2019,26788683,2019953927,121937125,4006.065902578797
2019,190640002,255379843,121942030,4495.134300421958
2019,194536064,371162283,121942038,3281.0940143135977
2019,194536064,5842514462,121942039,3272.8990237722633
2019,194536064,258063010,121942042,24643.52891958801
2019,578058716,6377734924,121942049,1009.2
2019,38338229,121942049,121942050,1369.3172183240881
2019,80559278,2411256860,121994393,104.3
2019,80559278,364178274,121994395,104.3
2019,80559278,507967451,121994396,104.3
2019,80559278,2141598589,121994397,2905.980665380907
2019,390057759,4984664258,121994398,414.2925039872408
2019,390034911,507967454,121994403,422.7197640117994
2019,390034911,5842538909,121994406,1136.3478903363794
2019,37619462,507967461,121994408,1928.076388888889
2019,390034911,3932067122,121994408,1051.036858974359
2019,307229104,4758722746,121995287,1712.4733138608603
2019,316002129,3931924736,121995297,3406.902283967269
2019,316002129,507968328,121995298,3406.902283967269
2019,194640224,2051417027,122006187,1829.7232101128347
2019,194640224,2588820796,122006196,1892.5434667373443
2019,30015508,122006202,122006201,1663.1202090592333
2019,30015509,2050367003,122006213,5766.885160143085
2019,30015509,2919189217,122006218,5961.218429727569
2019,288360312,1942583781,122006222,5644.533287589772
2019,288360312,1942583875,122006224,5644.533287589772
2019,288360312,1942583904,122006226,5644.533287589772
2019,288360298,2050269703,122006241,5318.0749500100255
2019,288360308,2050269722,122006242,2679.913515687852
2019,288360309,2050269754,122006248,3199.333993918064
2019,288360309,255384805,122006250,3199.333993918064
2019,288360307,2050269783,122006254,282.9443638069483
2019,288360290,2050269823,122006257,202.87162309368188
2019,190639997,361093474,122006261,233.37017118618388
2019,190639997,361093465,122006262,235.88960755813952
2019,190639997,2050270064,122006263,235.88960755813952
2019,25898197,282504890,122006264,359.0075187969925
2019,190639997,2050270092,122006264,235.88960755813952
2019,288235658,2050270133,122006271,322.0405977783106
2019,288235658,122006271,122006274,322.0405977783106
2019,24526824,2050270135,122006274,102.4331797235023
2019,190640000,2035506536,122006276,416.91602002045624
2019,288562381,2035506557,122006284,417.2175935088067
2019,288562364,2921138194,122006296,1017.1925166899548
2019,288562355,122006296,122006299,40.671047053836375
2019,288562376,2921138198,122006302,57.07103115727002
2019,288562369,2921138702,122006305,172.5600682192425
2019,288562379,1748027854,122006307,64.09472074682117
2019,288562387,371028826,122006326,140.49015151515152
2019,288562390,122006326,122006329,150.42385557704705
2019,288562390,122006329,122006330,150.42385557704705
2019,288696039,2922440967,122006337,856.5354890958524
2019,482701952,3377026290,122006338,208.53237951807228
2019,482701952,122006338,122006339,208.53237951807228
2019,482701952,2922440959,122006340,208.53237951807228
2019,288235670,282067172,122006345,269.9288749234205
2019,288235670,122006345,122006346,269.9288749234205
2019,288235670,2917914184,122006348,206.5782236073237
2019,288235670,122006348,122006349,206.5782236073237
2019,288235667,282929864,122006360,645.2353896103896
2019,288235667,122006360,122006361,645.2353896103896
2019,288696051,2922440938,122006379,672.881221719457
2019,288696051,2922440935,122006380,672.881221719457
2019,288696043,2487083564,122006389,1419.235666485802
2019,374874163,2922440921,122006392,1216.0297883558032
2019,237084153,123646895,122006399,1387.229916767979
2019,193022047,282728907,122006414,3605.544021720918
2019,193022047,2060572585,122006416,3605.544021720918
2019,288838817,2487022615,122006424,2994.740082328512
2019,194798205,3925691534,122016164,6916.21851210208
2019,194798205,2053052272,122016170,6680.902396607979
2019,194801606,3925691530,122016181,4071.380395388146
2019,163030666,122016199,122016196,1722.4755604155275
2019,163030666,122016200,122016199,1935.8730667255854
2019,163030666,2054319655,122016200,1935.8730667255854
2019,25911153,122017018,122017014,1573.4833333333331
2019,25911153,282658938,122017018,1573.4833333333331
2019,194801606,256408999,122019311,5651.162189466563
2019,194801608,294641459,122021995,2033.047619047619
2019,194801608,4792227316,122021998,2868.6644736842104
2019,194635266,2051360316,122029287,778.2886002886003
2019,13440863,1476209372,123620533,1.1
2019,13440863,1476209400,123620535,1.1
2019,13440863,1476209411,123620536,1.1
2019,374874165,123620538,123620537,166.89073070607554
2019,149597851,1625524154,123620538,183.11004784688996
2019,374874367,3782546463,123620541,735.6548672566372
2019,26499004,3782548674,123621171,1252.584080717489
2019,26499005,1476209418,123621173,554.88
2019,26499005,290436813,123621174,554.88
2019,26499043,3780222757,123621176,1106.9897333741956
2019,13441056,123621483,123621481,84.5
2019,13441056,2010604097,123621483,84.5
2019,288235648,289202398,123621732,2.0
2019,13441056,290436840,123621732,84.5
2019,13441160,123622175,123622173,562.0
2019,13441160,2010603963,123622175,562.0
2019,237084153,122006399,123623565,1387.229916767979
2019,13441435,1476217854,123623567,1911.2988165680476
2019,13441435,2922440907,123623568,1911.2988165680476
2019,32902666,123646883,123623572,2480.4763313609465
2019,542571077,370555241,123623573,4558.246989747752
2019,32902813,370557715,123623573,1260.9625668449198
2019,26498352,2487096204,123623998,154.15460150719343
2019,26498352,123624003,123624002,428.4258620689655
2019,26499006,290436794,123624003,1.326241134751773
2019,619061810,123624006,123624005,323.3333333333333
2019,619061810,1476209437,123624006,323.3333333333333
2019,149594464,123624012,123624011,825.7196510484928
2019,149594464,1476209404,123624012,825.7196510484928
2019,149594464,1476209391,123624015,825.7196510484928
2019,149594464,1476209383,123624016,825.7196510484928
2019,149594464,1476209374,123624020,825.7196510484928
2019,25901199,5850672655,123624849,2115.651772197788
2019,610178297,2917914163,123624851,2184.2281936897766
2019,25918362,281976459,123624853,2064.9570534707923
2019,288235676,2917914161,123624854,1.9682539682539684
2019,13441744,123625368,123625367,1029.5251798561153
2019,13441744,2922440934,123625368,1029.5251798561153
2019,13441744,2922440933,123625369,1029.5251798561153
2019,13441744,123625371,123625370,1029.5251798561153
2019,13441744,123625373,123625371,1029.5251798561153
2019,25850787,123625878,123625373,9.93478260869565
2019,288235673,2917914159,123625374,976.6209386281587
2019,288235673,2917914158,123625377,976.6209386281587
2019,288235673,2917914157,123625378,976.6209386281587
2019,288235673,123625378,123625379,976.6209386281587
