node_start,node_end,id_road_section,traffic_volume,year
13886102,668721020,13054227,171.0454545454545455,2019
668721020,510159803,13054227,171.0454545454545455,2019
13886102,120125589,13054289,658.2000000000000000,2019
120125589,120125591,13054289,658.2000000000000000,2019
120125591,120125593,13054289,658.2000000000000000,2019
120125593,514182400,13054289,658.2000000000000000,2019
514182400,120125594,13054289,658.2000000000000000,2019
120125594,514182402,13054289,658.2000000000000000,2019
514182402,120125597,13054289,658.2000000000000000,2019
120125597,514182404,13054289,658.2000000000000000,2019
514182404,289200594,13054289,658.2000000000000000,2019
289200594,120125599,13054289,658.2000000000000000,2019
668718132,3559369178,13054359,417.5680933852140078,2019
3559369178,668718133,13054359,417.5680933852140078,2019
668718133,3559369176,13054359,417.5680933852140078,2019
3559369176,3559369177,13054359,417.5680933852140078,2019
3559369177,668718134,13054359,417.5680933852140078,2019
668718134,3559369175,13054359,417.5680933852140078,2019
3559369175,120126258,13054359,417.5680933852140078,2019
120126258,3559369174,13054359,417.5680933852140078,2019
3559369174,120126259,13054359,417.5680933852140078,2019
120126259,3559369173,13054359,417.5680933852140078,2019
3559369173,3559369171,13054359,417.5680933852140078,2019
3559369171,3559369172,13054359,417.5680933852140078,2019
3559369172,120126261,13054359,417.5680933852140078,2019
120126261,3559369170,13054359,417.5680933852140078,2019
3559369170,668718135,13054359,417.5680933852140078,2019
668718135,3559369169,13054359,417.5680933852140078,2019
3559369169,120126262,13054359,417.5680933852140078,2019
120126262,3559369168,13054359,417.5680933852140078,2019
3559369168,514182439,13054359,417.5680933852140078,2019
514182439,668718136,13054359,417.5680933852140078,2019
668718136,120126263,13054359,417.5680933852140078,2019
120126263,3559369167,13054359,417.5680933852140078,2019
3559369167,668718137,13054359,417.5680933852140078,2019
668718137,514182437,13054359,417.5680933852140078,2019
514182437,3559369166,13054359,417.5680933852140078,2019
3559369166,120126264,13054359,417.5680933852140078,2019
120126264,3559369164,13054359,417.5680933852140078,2019
3559369164,3559369165,13054359,417.5680933852140078,2019
3559369165,259165264,13054359,417.5680933852140078,2019
150427782,123620533,13440863,1.1000000000000000,2019
123620533,1476209372,13440863,1.1000000000000000,2019
1476209372,290436837,13440863,1.1000000000000000,2019
290436837,1476209389,13440863,1.1000000000000000,2019
1476209389,123620535,13440863,1.1000000000000000,2019
123620535,1476209400,13440863,1.1000000000000000,2019
1476209400,123620536,13440863,1.1000000000000000,2019
123620536,1476209411,13440863,1.1000000000000000,2019
1476209411,289202543,13440863,1.1000000000000000,2019
123621732,290436840,13441056,84.5000000000000000,2019
290436840,123621481,13441056,84.5000000000000000,2019
123621481,123621483,13441056,84.5000000000000000,2019
123621483,2010604097,13441056,84.5000000000000000,2019
